player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0002565,Dan Campbell,TE,DAL,2005,4,0.75,1.0,6.0,0.25,0.0,0.0,0.5,0.0,0.039111525,0.0,0.0,2.1,2.85
00-0002565,Dan Campbell,TE,DET,2006,13,1.62,1.62,23.692308,0.31,15.615385,8.076923,1.2307693,1.0329967,0.06989222,0.097393036,0.17301345,4.2153845,5.830769
00-0002565,Dan Campbell,TE,DET,2007,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.037037037,0.006451613,0.060071684,0.1,1.1
00-0002565,Dan Campbell,TE,DET,2008,1,1.0,1.0,21.0,0.0,13.0,8.0,1.0,1.6153846,0.041666668,0.08552632,0.12236842,2.1,3.1
00-0002586,Mark Campbell,TE,CLE,2002,16,1.75,3.12,13.125,0.19,0.0,0.0,0.625,0.0,0.08939357,0.0,0.0,2.4375,4.1875
00-0002586,Mark Campbell,TE,BUF,2003,14,2.43,3.57,24.214285,0.07,0.0,0.0,0.78571427,0.0,0.11408799,0.0,0.0,2.85,5.2785716
00-0002586,Mark Campbell,TE,BUF,2004,11,1.55,2.73,18.454546,0.45,0.0,0.0,1.0,0.0,0.10212588,0.0,0.0,4.572727,6.118182
00-0002586,Mark Campbell,TE,BUF,2005,9,2.11,2.11,15.444445,0.0,0.0,0.0,0.5555556,0.0,0.12706411,0.0,0.0,1.5444444,3.6555555
00-0002586,Mark Campbell,TE,NO,2006,13,1.62,1.62,14.846154,0.0,7.230769,7.6153846,0.7692308,2.0128205,0.070804685,0.0486024,0.1402287,1.4846153,3.1
00-0002586,Mark Campbell,TE,NO,2008,7,1.71,1.71,17.285715,0.29,7.428571,9.857142,1.1428572,1.3010823,0.06771254,0.04692136,0.13441375,3.4428573,5.1571426
00-0002713,Tony Carter,RB,GB,2002,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0
00-0002721,Cris Carter,WR,MIA,2002,5,1.6,3.4,13.2,0.2,0.0,0.0,1.0,0.0,0.11200739,0.0,0.0,2.12,3.72
00-0002743,Ki-Jana Carter,RB,NO,2003,6,0.17,0.5,1.8333334,0.0,0.0,0.0,0.16666667,0.0,0.030438842,0.0,0.0,2.3833334,2.55
00-0002743,Ki-Jana Carter,RB,NO,2004,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243,0.0,0.0,0.85,0.85
00-0002861,Byron Chamberlain,TE,MIN,2002,13,2.62,3.85,29.923077,0.0,0.0,0.0,1.1538461,0.0,0.1118725,0.0,0.0,2.9923077,5.6076922
00-0002861,Byron Chamberlain,TE,WAS,2003,2,2.0,2.0,14.5,0.0,0.0,0.0,0.5,0.0,0.05637255,0.0,0.0,1.45,3.45
00-0002942,Darrin Chiaverini,WR,ATL,2002,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037,0.0,0.0,0.0,0.0
00-0002962,Wayne Chrebet,WR,NYJ,2002,17,3.18,5.47,43.64706,0.53,0.0,0.0,2.4117646,0.0,0.1793344,0.0,0.0,7.3058825,10.482353
00-0002962,Wayne Chrebet,WR,NYJ,2003,7,3.86,6.29,41.285713,0.14,0.0,0.0,2.142857,0.0,0.180943,0.0,0.0,4.9857144,8.842857
00-0002962,Wayne Chrebet,WR,NYJ,2004,15,2.07,3.87,26.466667,0.07,0.0,0.0,1.3333334,0.0,0.13622917,0.0,0.0,3.0466666,5.113333
00-0002962,Wayne Chrebet,WR,NYJ,2005,6,2.5,2.67,25.5,0.0,0.0,0.0,1.1666666,0.0,0.13299349,0.0,0.0,2.55,5.05
00-0003035,Desmond Clark,TE,MIA,2002,2,1.0,1.5,21.0,0.0,0.0,0.0,1.0,0.0,0.04280303,0.0,0.0,2.1,3.1
00-0003035,Desmond Clark,TE,CHI,2003,15,2.93,4.73,28.866667,0.13,0.0,0.0,1.5333333,0.0,0.16279356,0.0,0.0,3.42,6.3533335
00-0003035,Desmond Clark,TE,CHI,2004,14,1.71,3.5,20.142857,0.07,0.0,0.0,1.0,0.0,0.12639156,0.0,0.0,2.3,4.0142856
00-0003035,Desmond Clark,TE,CHI,2005,12,2.17,2.42,19.5,0.25,0.0,0.0,1.4166666,0.0,0.17416888,0.0,0.0,3.45,5.616667
00-0003035,Desmond Clark,TE,CHI,2006,17,3.12,3.29,43.117645,0.35,30.470589,14.176471,2.3529413,2.0521784,0.16304514,0.21283454,0.3935519,6.429412,9.547059
00-0003035,Desmond Clark,TE,CHI,2007,15,2.93,2.93,36.333332,0.27,20.266666,15.6,1.6,2.087499,0.1474069,0.21151923,0.36917382,5.2333336,8.166667
00-0003035,Desmond Clark,TE,CHI,2008,16,2.56,2.94,22.9375,0.06,11.6875,12.9375,1.125,2.520339,0.14144796,0.09904843,0.28150585,2.66875,5.23125
00-0003035,Desmond Clark,TE,CHI,2009,10,1.9,3.4,14.5,0.2,18.6,4.6,0.7,0.93478006,0.09362043,0.053088184,0.17759237,2.6499999,4.5499997
00-0003035,Desmond Clark,TE,CHI,2010,1,1.0,2.0,12.0,0.0,8.0,5.0,1.0,1.5,0.074074075,0.029850746,0.13200663,1.2,2.2
00-0003103,Cameron Cleeland,TE,NE,2002,8,2.0,2.62,14.0,0.12,0.0,0.0,0.875,0.0,0.069107644,0.0,0.0,2.15,4.15
00-0003103,Cameron Cleeland,TE,LA,2003,11,1.0,1.55,15.727273,0.0,0.0,0.0,0.6363636,0.0,0.04495925,0.0,0.0,1.5272727,2.5272727
00-0003103,Cameron Cleeland,TE,LA,2004,8,1.0,1.62,9.25,0.12,0.0,0.0,0.375,0.0,0.04413624,0.0,0.0,1.65,2.6499999
00-0003103,Cameron Cleeland,TE,LA,2005,4,1.25,1.25,4.25,0.25,0.0,0.0,0.75,0.0,0.05218785,0.0,0.0,1.9250001,3.175
00-0003136,Mike Cloud,RB,KC,2002,12,0.5,0.75,4.0,0.0,0.0,0.0,0.083333336,0.0,0.049353417,0.0,0.0,2.3583333,2.8583333
00-0003136,Mike Cloud,RB,NE,2003,5,0.2,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.034447823,0.0,0.0,8.5199995,8.72
00-0003136,Mike Cloud,RB,NYG,2004,5,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.030303031,0.0,0.0,5.46,5.66
00-0003136,Mike Cloud,RB,NE,2005,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.98333335,0.98333335
00-0003344,Greg Comella,RB,TEN,2002,7,1.43,2.14,10.0,0.0,0.0,0.0,0.5714286,0.0,0.07213629,0.0,0.0,0.71428573,2.142857
00-0003344,Greg Comella,RB,HOU,2003,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777778,0.0,0.0,0.0,0.0
00-0003344,Greg Comella,RB,TB,2004,1,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.037037037,0.0,0.0,1.2,2.2
00-0003396,Curtis Conway,WR,LAC,2002,12,4.75,7.83,71.0,0.42,0.0,0.0,3.5,0.0,0.2516116,0.0,0.0,10.708333,15.458334
00-0003396,Curtis Conway,WR,NYJ,2003,16,2.88,6.38,40.0,0.12,0.0,0.0,2.0625,0.0,0.21281295,0.0,0.0,4.75,7.625
00-0003396,Curtis Conway,WR,SF,2004,15,2.53,5.0,26.866667,0.2,0.0,0.0,1.5333333,0.0,0.14081953,0.0,0.0,4.02,6.5533333
00-0003400,Ernie Conwell,TE,LA,2002,16,2.12,3.0,26.1875,0.12,0.0,0.0,1.0625,0.0,0.08311845,0.0,0.0,3.9312499,6.05625
